model,threshold,tp,fp,fn,tn,precision,recall,f1,far,pofd,pr_auc,roc_auc,base_rate,pr_auc_ci95,brier,lead_episodes,lead_detected,lead_detection_rate,lead_median_lead_h,lead_mean_lead_h,lead_p90_lead_h,lead_river_episodes,lead_river_detected,lead_river_detection_rate,lead_river_median_lead_h,lead_river_mean_lead_h,lead_river_p90_lead_h,lead_local_episodes,lead_local_detected,lead_local_detection_rate,lead_local_median_lead_h,lead_local_mean_lead_h,lead_local_p90_lead_h
B1 Rainfall threshold,0.618,222,410,469,46143,0.3512658227848101,0.32127351664254705,0.3356009070294785,0.6487341772151899,0.008807166025820034,0.29570346596814945,0.8655525067471298,0.014626195919058504,"[0.2594687470014742, 0.33285108134629454]",,60,6,0.1,3.5,3.5,6.0,15,4,0.26666666666666666,5.0,4.75,6.0,45,2,0.044444444444444446,1.0,1.0,1.0
B2 Persistence,0.2416,185,173,506,46380,0.5167597765363129,0.26772793053545585,0.3527168732125834,0.48324022346368717,0.003716194445041136,0.28515409353318,0.6859867608688266,0.014626195919058504,"[0.2556714115752434, 0.3210126504386373]",,60,9,0.15,3.0,7.888888888888889,24.0,15,6,0.4,3.0,6.5,15.0,45,3,0.06666666666666667,7.0,10.666666666666666,20.6
M1 Physical,0.3913,378,143,313,46410,0.72552783109405,0.5470332850940666,0.6237623762376238,0.2744721689059501,0.0030717676626640603,0.5882627190424518,0.9239035799508724,0.014626195919058504,"[0.5577482257047143, 0.6244470056688805]",0.008176141952963316,60,38,0.6333333333333333,1.0,1.4210526315789473,2.0,15,10,0.6666666666666666,2.0,2.1,3.299999999999999,45,28,0.6222222222222222,1.0,1.1785714285714286,2.0
M2 Physical + crowd,0.3571,380,104,311,46449,0.7851239669421488,0.5499276410998553,0.6468085106382978,0.21487603305785125,0.002234012845573862,0.6063988571359196,0.9265798162982652,0.014626195919058504,"[0.5740009469710696, 0.6422048160421782]",0.007783129108331743,60,33,0.55,1.0,1.5454545454545454,2.0,15,9,0.6,2.0,2.2222222222222223,3.8000000000000007,45,24,0.5333333333333333,1.0,1.2916666666666667,2.0
