panel_size,detection_rate,pr_auc_physical,pr_auc_with_crowd,delta_pr_auc
5,0.4,0.5882627190424518,0.6017226439812482,0.013459924938796441
5,0.6,0.5882627190424518,0.5999270062462988,0.011664287203847046
5,0.8,0.5882627190424518,0.59992612841365,0.011663409371198252
15,0.4,0.5882627190424518,0.5976544434785176,0.00939172443606584
15,0.6,0.5882627190424518,0.6071430847913825,0.018880365748930705
15,0.8,0.5882627190424518,0.6034134881594726,0.015150769117020846
40,0.4,0.5882627190424518,0.613649937057486,0.025387218015034296
40,0.6,0.5882627190424518,0.6155888630969144,0.027326144054462653
40,0.8,0.5882627190424518,0.6139167108416925,0.025653991799240772
